Rank,Company,Ticker,Sector,Industry,Profitable,Founder_is_CEO,FemaleCEO,Growth_in_Jobs,Change_in_Rank,Global500,Worlds_Most_Admired_Companies,Best_Companies_to_Work_For,Number_of_employees,MarketCap_March28_M,Revenue,RevenuePercentChange,Profits_M,ProfitsPercentChange,Assets_M,CEO,Country,HeadquartersCity,HeadquartersState,CompanyType
389,Hilton Worldwide Holdings,HLT,"Hotels, Restaurants & Leisure","Hotels, Casinos, Resorts",yes,no,no,yes,42,no,yes,yes,178000,53788.4,"$10,235,000 ",16.7,1141,-9.1,15401,Christopher J. Nassetta,U.S.,McLean,Virginia,Public
390,Ebay,EBAY,Technology,Internet Services and Retailing,yes,no,no,yes,3,no,no,no,12300,27340,"$10,112,000 ",3.2,2767,,21620,Jamie Iannone,U.S.,San Jose,California,Public
391,Arthur J. Gallagher,AJG,Financials,Diversified Financials,yes,no,no,yes,52,no,no,no,52118,54584.4,"$10,072 ",17.8,969.5,-13,51615.8,J. Patrick Gallagher Jr.,U.S.,Rolling Meadows,Illinois,Public
392,LPL Financial Holdings,LPLA,Financials,Securities,yes,no,no,yes,48,no,no,no,7372,19735.9,"$10,053 ",16.9,1066.3,26.1,10385.5,Dan H. Arnold,U.S.,San Diego,California,Public
393,Cincinnati Financial,CINF,Financials,Insurance: Property and Casualty (Stock),yes,no,no,yes,141,no,no,no,5426,19456.1,"$10,013 ",52.7,1843.3,,32769.5,Stephen M. Spray,U.S.,Fairfield,Ohio,Public
394,Toll Brothers,TOL,Engineering & Construction,Homebuilders,yes,no,no,no,-12,no,yes,no,4800,13476.5,"$9,995 ",-2.7,1372.1,6.7,12527,Douglas C. Yearley Jr.,U.S.,Fort Washington,Pennsylvania,Public
395,Motorola Solutions,MSI,Technology,Network and Other Communications Equipment,yes,no,no,yes,23,no,no,no,21000,59141.7,"$9,978,000 ",9.5,1709,25.4,13336,Gregory Q. Brown,U.S.,Chicago,Illinois,Public
396,Airbnb,ABNB,Technology,Internet Services and Retailing,yes,yes,no,yes,54,no,yes,no,6907,106739.8,"$9,917,000 ",18.1,4792,153.1,20645,Brian Chesky,U.S.,San Francisco,California,Public
397,Intercontinental Exchange,ICE,Financials,Securities,yes,yes,no,yes,4,no,no,no,13222,78694.7,"$9,903,000 ",2.8,2368,63.8,136084,Jeffrey C. Sprecher,U.S.,Atlanta,Georgia,Public
398,News Corp.,NWSA,Media,"Publishing, Printing",yes,no,no,no,-17,no,no,no,25000,15120.1,"$9,879,000 ",-4.9,149,-76.1,16921,Robert J. Thomson,U.S.,New York,New York,Public
